bubble,,bubble,bubble
tray,,container,tray
whiskey_jug,,container,bottle
beer_bottle,,container,bottle
pop_bottle,,container,bottle
water_tower,,container,reservoir
beer_glass,,container,glass
mailbag,,container,bag
water_jug,,container,bottle
bucket,,container,bucket
mortar,,container,mortar
wine_bottle,,container,bottle
pot,,container,pot
hamper,,container,basket
pencil_box,,container,box
backpack,,container,bag
vase,,container,jar
milk_can,,container,milk_can
envelope,,container,envelope
bathtub,,container,bathtub
cassette,,container,cassette
ladle,,container,ladle
crate,,container,box
pill_bottle,,container,bottle
barrel,,container,barrel
washbasin,,container,washbasin
mailbox,,container,box
packet,,container,packet
rain_barrel,,container,reservoir
wallet,,container,wallet
piggy_bank,,container,piggy_bank
purse,,container,bag
sleeping_bag,,container,bag
measuring_cup,,container,measuring_cup
shopping_basket,,container,basket
saltshaker,,container,shaker
goblet,,container,glass
water_bottle,,container,bottle
soap_dispenser,,container,soap_dispenser
plastic_bag,,container,bag
pitcher,,container,pitcher
beaker,,container,jar
coffee_mug,,container,coffee_mug
schooner,,vehicle,craft
airliner,,vehicle,craft
warplane,,vehicle,craft
airship,,vehicle,craft
balloon,,vehicle,craft
space_shuttle,,vehicle,craft
fireboat,,vehicle,craft
gondola,,vehicle,craft
speedboat,,vehicle,craft
lifeboat,,vehicle,craft
canoe,,vehicle,craft
yawl,,vehicle,craft
catamaran,,vehicle,craft
trimaran,,vehicle,craft
container_ship,,vehicle,craft
liner,,vehicle,craft
pirate,,vehicle,craft
aircraft_carrier,,vehicle,craft
submarine,,vehicle,craft
wreck,,vehicle,craft
bobsled,,vehicle,sled
dogsled,,vehicle,sled
half_track,,vehicle,wheeled_vehicle
tank,,vehicle,wheeled_vehicle
bicycle-built-for-two,,vehicle,wheeled_vehicle
mountain_bike,,vehicle,wheeled_vehicle
freight_car,,vehicle,wheeled_vehicle
passenger_car,,vehicle,wheeled_vehicle
barrow,,vehicle,wheeled_vehicle
shopping_cart,,vehicle,wheeled_vehicle
motor_scooter,,vehicle,wheeled_vehicle
forklift,,vehicle,wheeled_vehicle
electric_locomotive,,vehicle,wheeled_vehicle
steam_locomotive,,vehicle,wheeled_vehicle
amphibian,,vehicle,wheeled_vehicle
ambulance,,vehicle,wheeled_vehicle
beach_wagon,,vehicle,wheeled_vehicle
cab,,vehicle,wheeled_vehicle
convertible,,vehicle,wheeled_vehicle
jeep,,vehicle,wheeled_vehicle
limousine,,vehicle,wheeled_vehicle
minivan,,vehicle,wheeled_vehicle
Model_T,,vehicle,wheeled_vehicle
racer,,vehicle,wheeled_vehicle
sports_car,,vehicle,wheeled_vehicle
go-kart,,vehicle,wheeled_vehicle
golfcart,,vehicle,wheeled_vehicle
moped,,vehicle,wheeled_vehicle
snowplow,,vehicle,wheeled_vehicle
fire_engine,,vehicle,wheeled_vehicle
garbage_truck,,vehicle,wheeled_vehicle
pickup,,vehicle,wheeled_vehicle
tow_truck,,vehicle,wheeled_vehicle
trailer_truck,,vehicle,wheeled_vehicle
moving_van,,vehicle,wheeled_vehicle
police_van,,vehicle,wheeled_vehicle
recreational_vehicle,,vehicle,wheeled_vehicle
streetcar,,vehicle,wheeled_vehicle
snowmobile,,vehicle,wheeled_vehicle
tractor,,vehicle,wheeled_vehicle
mobile_home,,vehicle,wheeled_vehicle
tricycle,,vehicle,wheeled_vehicle
unicycle,,vehicle,wheeled_vehicle
horse_cart,,vehicle,wheeled_vehicle
jinrikisha,,vehicle,wheeled_vehicle
oxcart,,vehicle,wheeled_vehicle
trolleybus,,public_transport,bus
bullet_train,,public_transport,bullet_train
minibus,,public_transport,bus
stretcher,,litter,stretcher
school_bus,,public_transport,bus
wing,,device,wing
oxygen_mask,,device,breathing_device
snorkel,,device,breathing_device
loudspeaker,,device,electro-acoustic_transducer
microphone,,device,electro-acoustic_transducer
screen,,device,electronic_device
mouse,,device,electronic_device
electric_fan,,device,electric_fan
oil_filter,,device,filter
strainer,,device,filter
space_heater,,device,heater
stove,,device,heater
revolver,,device,weapon
missile,,device,weapon
guillotine,,device,guillotine
barometer,,device,measuring_instrument
rule,,device,measuring_instrument
odometer,,device,measuring_instrument
scale,,device,measuring_instrument
analog_clock,,device,measuring_instrument
digital_clock,,device,measuring_instrument
wall_clock,,device,measuring_instrument
hourglass,,device,measuring_instrument
sundial,,device,measuring_instrument
parking_meter,,device,measuring_instrument
stopwatch,,device,measuring_instrument
digital_watch,,device,measuring_instrument
stethoscope,,device,medical_instrument
syringe,,device,medical_instrument
magnetic_compass,,device,magnetic_compass
binoculars,,device,optical_instrument
projector,,device,optical_instrument
sunglasses,,device,optical_instrument
loupe,,device,magnifier
radio_telescope,,device,magnifier
bow,,device,weapon
cannon,,device,weapon
assault_rifle,,device,weapon
rifle,,device,weapon
projectile,,device,weapon
typewriter_keyboard,,device,typewriter_keyboard
crane,,device,lifting_device
lighter,,device,lighter
laptop,,device,personal_computer
abacus,,device,abacus
cash_machine,,device,cash_machine
slide_rule,,device,slide_rule
desktop_computer,,device,personal_computer
hand-held_computer,,device,personal_computer
notebook,,device,personal_computer
web_site,,device,web_site
harvester,,device,farm_machine
thresher,,device,farm_machine
slot,,device,slot_machine
vending_machine,,device,slot_machine
switch,,device,switch
hook,,device,mechanical_device
car_wheel,,device,mechanical_device
paddlewheel,,device,mechanical_device
pinwheel,,device,mechanical_device
potter's_wheel,,device,mechanical_device
gas_pump,,device,mechanical_device
carousel,,device,mechanical_device
swing,,device,mechanical_device
reel,,device,mechanical_device
radiator,,device,radiator
puck,,device,puck
hard_disc,,device,hard_disc
accordion,,device,wind_instrument
grand_piano,,device,stringed_instrument
organ,,device,wind_instrument
upright,,device,stringed_instrument
chime,,device,percussion_instrument
drum,,device,percussion_instrument
gong,,device,percussion_instrument
maraca,,device,percussion_instrument
marimba,,device,percussion_instrument
steel_drum,,device,percussion_instrument
banjo,,device,stringed_instrument
cello,,device,stringed_instrument
violin,,device,stringed_instrument
harp,,device,stringed_instrument
acoustic_guitar,,device,stringed_instrument
electric_guitar,,device,stringed_instrument
cornet,,device,wind_instrument
French_horn,,device,wind_instrument
trombone,,device,wind_instrument
harmonica,,device,wind_instrument
ocarina,,device,wind_instrument
panpipe,,device,wind_instrument
bassoon,,device,wind_instrument
oboe,,device,wind_instrument
sax,,device,wind_instrument
flute,,device,wind_instrument
sunglass,,device,sunglass
pick,,device,pick
car_mirror,,device,reflector
solar_dish,,device,reflector
remote_control,,device,remote_control
disk_brake,,device,disk_brake
buckle,,device,fastener
hair_slide,,device,fastener
knot,,device,fastener
combination_lock,,device,fastener
padlock,,device,fastener
nail,,device,fastener
safety_pin,,device,fastener
screw,,device,fastener
muzzle,,device,muzzle
ski,,device,ski
whistle,,device,whistle
candle,,device,source_of_illumination
jack-o'-lantern,,device,source_of_illumination
spotlight,,device,source_of_illumination
torch,,device,source_of_illumination
neck_brace,,device,support
pier,,device,support
tripod,,device,support
maypole,,device,support
mousetrap,,device,trap
spider_web,,device,trap
photocopier,,equipment,photocopier
computer_keyboard,,equipment,electronic_equipment
printer,,equipment,electronic_equipment
joystick,,equipment,electronic_equipment
modem,,equipment,electronic_equipment
pay-phone,,equipment,electronic_equipment
monitor,,equipment,electronic_equipment
oscilloscope,,equipment,electronic_equipment
cellular_telephone,,equipment,electronic_equipment
cassette_player,,equipment,electronic_equipment
dial_telephone,,equipment,electronic_equipment
tape_player,,equipment,electronic_equipment
iPod,,equipment,electronic_equipment
CD_player,,equipment,electronic_equipment
soccer_ball,,equipment,soccer_ball
crossword_puzzle,,equipment,puzzle
ping-pong_ball,,equipment,ping-pong_ball
punching_bag,,equipment,punching_bag
rugby_ball,,equipment,rugby_ball
volleyball,,equipment,volleyball
jigsaw_puzzle,,equipment,puzzle
tennis_ball,,equipment,tennis_ball
drilling_platform,,equipment,gear
carpenter's_kit,,equipment,gear
Polaroid_camera,,equipment,camera
reflex_camera,,equipment,camera
parachute,,equipment,parachute
croquet_ball,,equipment,sports_equipment
balance_beam,,equipment,sports_equipment
golf_ball,,equipment,sports_equipment
baseball,,equipment,sports_equipment
basketball,,equipment,sports_equipment
barbell,,equipment,sports_equipment
horizontal_bar,,equipment,sports_equipment
parallel_bars,,equipment,sports_equipment
dumbbell,,equipment,sports_equipment
bassinet,,furniture,baby_bed
cradle,,furniture,baby_bed
crib,,furniture,baby_bed
four-poster,,furniture,four-poster
bookcase,,furniture,bookcase
china_cabinet,,furniture,cabinet
medicine_chest,,furniture,cabinet
chiffonier,,furniture,chiffonier
table_lamp,,furniture,table_lamp
file,,furniture,file
park_bench,,furniture,seat
barber_chair,,furniture,seat
throne,,furniture,seat
folding_chair,,furniture,seat
rocking_chair,,furniture,seat
studio_couch,,furniture,seat
toilet_seat,,furniture,seat
desk,,furniture,table
pool_table,,furniture,table
dining_table,,furniture,table
entertainment_center,,furniture,entertainment_center
wardrobe,,furniture,wardrobe
prayer_rug,,prayer_rug,prayer_rug
hatchet,,implement,tool
space_bar,,implement,space_bar
paintbrush,,implement,paintbrush
swab,,implement,cleaning_implement
broom,,implement,cleaning_implement
rubber_eraser,,implement,rubber_eraser
paddle,,implement,paddle
pole,,implement,pole
pencil_sharpener,,implement,pencil_sharpener
racket,,implement,racket
spindle,,implement,stick
drumstick,,implement,stick
crutch,,implement,stick
matchstick,,implement,stick
flagpole,,implement,stick
cleaver,,implement,tool
letter_opener,,implement,tool
plane,,implement,tool
power_drill,,implement,tool
lawn_mower,,implement,tool
hammer,,implement,tool
corkscrew,,implement,tool
can_opener,,implement,tool
plunger,,implement,tool
screwdriver,,implement,tool
shovel,,implement,tool
plow,,implement,tool
chain_saw,,implement,tool
Crock_Pot,,implement,crock_pot
frying_pan,,implement,pan
wok,,implement,pan
caldron,,implement,pot
coffeepot,,implement,pot
teapot,,implement,pot
spatula,,implement,spatula
quill,,implement,pen
ballpoint,,implement,pen
fountain_pen,,implement,pen
comic_book,,comic_book,comic_book
radio,,communication_system,radio
maze,,maze,maze
television,,communication_system,television
face_powder,,toiletry,makeup
sunscreen,,toiletry,sunscreen
lipstick,,toiletry,makeup
perfume,,toiletry,perfume
lotion,,toiletry,lotion
hair_spray,,toiletry,hair_spray
pillow,,pillow,pillow
teddy,,teddy,teddy
altar,,structure,altar
patio,,structure,patio
steel_arch_bridge,,structure,bridge
suspension_bridge,,structure,bridge
viaduct,,structure,bridge
barn,,structure,building
greenhouse,,structure,building
library,,structure,building
apiary,,structure,building
boathouse,,structure,building
church,,structure,building
mosque,,structure,building
stupa,,structure,building
planetarium,,structure,building
restaurant,,structure,building
cinema,,structure,building
home_theater,,structure,building
lumbermill,,structure,lumbermill
coil,,structure,coil
obelisk,,structure,obelisk
castle,,structure,castle
prison,,structure,prison
grocery_store,,structure,grocery_store
bakery,,structure,shop
barbershop,,structure,shop
bookshop,,structure,shop
butcher_shop,,structure,shop
confectionery,,structure,shop
shoe_shop,,structure,shop
tobacco_shop,,structure,shop
toyshop,,structure,shop
fountain,,structure,fountain
palace,,structure,dwelling
monastery,,structure,dwelling
cliff_dwelling,,structure,dwelling
yurt,,structure,dwelling
dock,,structure,dock
triumphal_arch,,structure,memorial
brass,,structure,memorial
megalith,,structure,memorial
bannister,,structure,barrier
breakwater,,structure,barrier
dam,,structure,barrier
chainlink_fence,,structure,barrier
picket_fence,,structure,barrier
worm_fence,,structure,barrier
stone_wall,,structure,barrier
grille,,structure,barrier
sliding_door,,structure,barrier
turnstile,,structure,barrier
mountain_tent,,structure,mountain_tent
scoreboard,,structure,scoreboard
honeycomb,,structure,framework
plate_rack,,structure,framework
pedestal,,structure,support
beacon,,structure,beacon
stage,,stage,stage
hen-of-the-woods,,fungus,hen-of-the-woods
earthstar,,fungus,earthstar
coral_fungus,,fungus,coral_fungus
stinkhorn,,fungus,stinkhorn
agaric,,fungus,agaric
gyromitra,,fungus,gyromitra
bolete,,fungus,bolete
groom,,person,groom
ballplayer,,person,ballplayer
scuba_diver,,person,scuba_diver
yellow_lady's_slipper,,flower,orchid
daisy,,flower,daisy
strawberry,,natural_object,fruit
Granny_Smith,,natural_object,fruit
orange,,natural_object,fruit
lemon,,natural_object,fruit
fig,,natural_object,fruit
pineapple,,natural_object,fruit
banana,,natural_object,fruit
jackfruit,,natural_object,fruit
custard_apple,,natural_object,fruit
pomegranate,,natural_object,fruit
acorn,,natural_object,fruit
hip,,natural_object,fruit
ear,,natural_object,fruit
rapeseed,,natural_object,fruit
corn,,natural_object,fruit
buckeye,,natural_object,fruit
sandbar,,natural_object,barrier
trilobite,,trilobite,trilobite
harvestman,,arachnid,harvestman
scorpion,,arachnid,scorpion
black_and_gold_garden_spider,,arachnid,spider
barn_spider,,arachnid,spider
garden_spider,,arachnid,spider
black_widow,,arachnid,spider
tarantula,,arachnid,spider
wolf_spider,,arachnid,spider
tick,,arachnid,acarine
centipede,,centipede,centipede
isopod,,crustacean,malacostracan_crustacean
Dungeness_crab,,crustacean,decapod_crustacean
rock_crab,,crustacean,decapod_crustacean
fiddler_crab,,crustacean,decapod_crustacean
king_crab,,crustacean,decapod_crustacean
American_lobster,,crustacean,decapod_crustacean
spiny_lobster,,crustacean,decapod_crustacean
crayfish,,crustacean,decapod_crustacean
hermit_crab,,crustacean,decapod_crustacean
tiger_beetle,,insect,beetle
ladybug,,insect,beetle
ground_beetle,,insect,beetle
long-horned_beetle,,insect,beetle
leaf_beetle,,insect,beetle
dung_beetle,,insect,beetle
rhinoceros_beetle,,insect,beetle
weevil,,insect,beetle
fly,,insect,dipterous_insect
bee,,insect,hymenopterous_insect
grasshopper,,insect,orthopterous_insect
cricket,,insect,orthopterous_insect
walking_stick,,insect,phasmid
cockroach,,insect,dictyopterous_insect
mantis,,insect,dictyopterous_insect
cicada,,insect,homopterous_insect
leafhopper,,insect,homopterous_insect
lacewing,,insect,neuropteron
dragonfly,,insect,odonate
damselfly,,insect,odonate
admiral,,insect,lepidopterous_insect
ringlet,,insect,lepidopterous_insect
monarch,,insect,lepidopterous_insect
cabbage_butterfly,,insect,lepidopterous_insect
sulphur_butterfly,,insect,lepidopterous_insect
lycaenid,,insect,lepidopterous_insect
ant,,insect,hymenopterous_insect
jellyfish,,coelenterate,jellyfish
sea_anemone,,coelenterate,anthozoan
brain_coral,,coelenterate,anthozoan
flatworm,,worm,flatworm
nematode,,worm,nematode
conch,,mollusk,gastropod
snail,,mollusk,gastropod
slug,,mollusk,gastropod
sea_slug,,mollusk,gastropod
chiton,,mollusk,chiton
chambered_nautilus,,mollusk,cephalopod
sea_urchin,,echinoderm,sea_urchin
sea_cucumber,,echinoderm,sea_cucumber
starfish,,echinoderm,starfish
grey_whale,,aquatic_mammal,whale
sea_lion,,aquatic_mammal,seal
killer_whale,,aquatic_mammal,whale
dugong,,aquatic_mammal,dugong
kit_fox,,canine,fox
English_setter,,canine,dog
Siberian_husky,,canine,dog
Australian_terrier,,canine,dog
English_springer,,canine,dog
lesser_panda,,procyonid,lesser_panda
Egyptian_cat,,feline,cat
Persian_cat,,feline,cat
cougar,,feline,cat
malamute,,canine,dog
badger,,musteline_mammal,badger
Great_Dane,,canine,dog
Walker_hound,,canine,dog
Welsh_springer_spaniel,,canine,dog
whippet,,canine,dog
Scottish_deerhound,,canine,dog
mink,,musteline_mammal,mink
Weimaraner,,canine,dog
soft-coated_wheaten_terrier,,canine,dog
Dandie_Dinmont,,canine,dog
red_wolf,,canine,wolf
Old_English_sheepdog,,canine,dog
jaguar,,feline,big_cat
otterhound,,canine,dog
bloodhound,,canine,dog
Airedale,,canine,dog
hyena,,canine,hyena
meerkat,,viverrine,meerkat
giant_schnauzer,,canine,dog
black-footed_ferret,,musteline_mammal,black-footed_ferret
dalmatian,,canine,dog
black-and-tan_coonhound,,canine,dog
papillon,,canine,dog
skunk,,musteline_mammal,skunk
Staffordshire_bullterrier,,canine,dog
Mexican_hairless,,canine,dog
Bouvier_des_Flandres,,canine,dog
weasel,,musteline_mammal,weasel
miniature_poodle,,canine,dog
Cardigan,,canine,dog
malinois,,canine,dog
tiger_cat,,feline,cat
Lhasa,,canine,dog
coyote,,canine,wolf
Yorkshire_terrier,,canine,dog
Newfoundland,,canine,dog
brown_bear,,bear,brown_bear
red_fox,,canine,fox
Norwegian_elkhound,,canine,dog
Rottweiler,,canine,dog
Saluki,,canine,dog
grey_fox,,canine,fox
schipperke,,canine,dog
Pekinese,,canine,dog
Brabancon_griffon,,canine,dog
West_Highland_white_terrier,,canine,dog
Sealyham_terrier,,canine,dog
mongoose,,viverrine,mongoose
tiger,,feline,big_cat
Irish_wolfhound,,canine,dog
EntleBucher,,canine,dog
French_bulldog,,canine,dog
basenji,,canine,dog
leopard,,feline,big_cat
Bernese_mountain_dog,,canine,dog
Maltese_dog,,canine,dog
Norfolk_terrier,,canine,dog
toy_terrier,,canine,dog
vizsla,,canine,dog
cairn,,canine,dog
groenendael,,canine,dog
clumber,,canine,dog
Siamese_cat,,feline,cat
komondor,,canine,dog
Afghan_hound,,canine,dog
Japanese_spaniel,,canine,dog
white_wolf,,canine,wolf
ice_bear,,bear,ice_bear
borzoi,,canine,dog
toy_poodle,,canine,dog
Kerry_blue_terrier,,canine,dog
Scotch_terrier,,canine,dog
Tibetan_mastiff,,canine,dog
Doberman,,canine,dog
Boston_bull,,canine,dog
Greater_Swiss_Mountain_dog,,canine,dog
Appenzeller,,canine,dog
Shih-Tzu,,canine,dog
Irish_water_spaniel,,canine,dog
Pomeranian,,canine,dog
Bedlington_terrier,,canine,dog
miniature_schnauzer,,canine,dog
collie,,canine,dog
golden_retriever,,canine,dog
Irish_terrier,,canine,dog
affenpinscher,,canine,dog
Border_collie,,canine,dog
boxer,,canine,dog
silky_terrier,,canine,dog
beagle,,canine,dog
Leonberg,,canine,dog
German_short-haired_pointer,,canine,dog
dhole,,canine,wild_dog
Chesapeake_Bay_retriever,,canine,dog
bull_mastiff,,canine,dog
kuvasz,,canine,dog
pug,,canine,dog
curly-coated_retriever,,canine,dog
Norwich_terrier,,canine,dog
flat-coated_retriever,,canine,dog
keeshond,,canine,dog
Eskimo_dog,,canine,dog
Brittany_spaniel,,canine,dog
standard_poodle,,canine,dog
Lakeland_terrier,,canine,dog
snow_leopard,,feline,big_cat
Gordon_setter,,canine,dog
dingo,,canine,wild_dog
standard_schnauzer,,canine,dog
Tibetan_terrier,,canine,dog
Arctic_fox,,canine,fox
wire-haired_fox_terrier,,canine,dog
basset,,canine,dog
American_black_bear,,bear,american_black_bear
chow,,canine,dog
giant_panda,,procyonid,giant_panda
American_Staffordshire_terrier,,canine,dog
Shetland_sheepdog,,canine,dog
Great_Pyrenees,,canine,dog
Chihuahua,,canine,dog
tabby,,feline,cat
Labrador_retriever,,canine,dog
Saint_Bernard,,canine,dog
Samoyed,,canine,dog
bluetick,,canine,dog
redbone,,canine,dog
polecat,,musteline_mammal,polecat
kelpie,,canine,dog
miniature_pinscher,,canine,dog
Italian_greyhound,,canine,dog
lion,,feline,big_cat
cocker_spaniel,,canine,dog
Irish_setter,,canine,dog
Sussex_spaniel,,canine,dog
Pembroke,,canine,dog
Blenheim_spaniel,,canine,dog
Rhodesian_ridgeback,,canine,dog
lynx,,feline,cat
African_hunting_dog,,canine,wild_dog
Ibizan_hound,,canine,dog
timber_wolf,,canine,wolf
cheetah,,feline,big_cat
English_foxhound,,canine,dog
briard,,canine,dog
sloth_bear,,bear,sloth_bear
Border_terrier,,canine,dog
German_shepherd,,canine,dog
otter,,musteline_mammal,otter
three-toed_sloth,,edentate,sloth
armadillo,,edentate,armadillo
hare,,leporid,hare
Angora,,leporid,rabbit
wood_rabbit,,leporid,rabbit
titi,,primate,monkey
colobus,,primate,monkey
guenon,,primate,monkey
indri,,primate,lemur
orangutan,,primate,ape
squirrel_monkey,,primate,monkey
chimpanzee,,primate,ape
proboscis_monkey,,primate,monkey
gorilla,,primate,ape
spider_monkey,,primate,monkey
siamang,,primate,ape
patas,,primate,monkey
baboon,,primate,monkey
macaque,,primate,monkey
capuchin,,primate,monkey
howler_monkey,,primate,monkey
marmoset,,primate,monkey
gibbon,,primate,ape
Madagascar_cat,,primate,lemur
langur,,primate,monkey
African_elephant,,elephant,african_elephant
Indian_elephant,,elephant,indian_elephant
porcupine,,rodent,porcupine
fox_squirrel,,rodent,squirrel
guinea_pig,,rodent,cavy
hamster,,rodent,hamster
marmot,,rodent,marmot
beaver,,rodent,beaver
ibex,,ungulate,even-toed_ungulate
gazelle,,ungulate,even-toed_ungulate
sorrel,,ungulate,odd-toed_ungulate
bighorn,,ungulate,even-toed_ungulate
impala,,ungulate,even-toed_ungulate
hartebeest,,ungulate,even-toed_ungulate
wild_boar,,ungulate,even-toed_ungulate
zebra,,ungulate,odd-toed_ungulate
ram,,ungulate,even-toed_ungulate
ox,,ungulate,even-toed_ungulate
warthog,,ungulate,even-toed_ungulate
Arabian_camel,,ungulate,even-toed_ungulate
hog,,ungulate,even-toed_ungulate
water_buffalo,,ungulate,even-toed_ungulate
bison,,ungulate,even-toed_ungulate
hippopotamus,,ungulate,even-toed_ungulate
llama,,ungulate,even-toed_ungulate
koala,,marsupial,phalanger
wallaby,,marsupial,kangaroo
wombat,,marsupial,wombat
platypus,,monotreme,platypus
echidna,,monotreme,echidna
tusker,,tusker,tusker
cock,,bird,cock
hen,,bird,hen
ostrich,,bird,ratite
brambling,,bird,oscine
goldfinch,,bird,oscine
house_finch,,bird,oscine
junco,,bird,oscine
indigo_bunting,,bird,oscine
robin,,bird,oscine
bulbul,,bird,oscine
jay,,bird,oscine
magpie,,bird,oscine
chickadee,,bird,oscine
water_ouzel,,bird,oscine
kite,,bird,bird_of_prey
bald_eagle,,bird,bird_of_prey
vulture,,bird,bird_of_prey
great_grey_owl,,bird,bird_of_prey
black_grouse,,bird,game_bird
ptarmigan,,bird,game_bird
ruffed_grouse,,bird,game_bird
prairie_chicken,,bird,game_bird
peacock,,bird,game_bird
quail,,bird,game_bird
partridge,,bird,game_bird
African_grey,,bird,parrot
macaw,,bird,parrot
sulphur-crested_cockatoo,,bird,parrot
lorikeet,,bird,parrot
coucal,,bird,cuckoo
bee_eater,,bird,coraciiform_bird
hornbill,,bird,coraciiform_bird
hummingbird,,bird,hummingbird
jacamar,,bird,piciform_bird
toucan,,bird,piciform_bird
drake,,bird,aquatic_bird
red-breasted_merganser,,bird,aquatic_bird
goose,,bird,aquatic_bird
black_swan,,bird,aquatic_bird
white_stork,,bird,aquatic_bird
black_stork,,bird,aquatic_bird
spoonbill,,bird,aquatic_bird
flamingo,,bird,aquatic_bird
American_egret,,bird,aquatic_bird
little_blue_heron,,bird,aquatic_bird
bittern,,bird,aquatic_bird
crane,,bird,aquatic_bird
